Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
Table-2 (a) Acerage Index of Important Crops,,,,,,,,
,Base - 2015-16=100,,,,,,,
Crops,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(P)
Wheat,100.0,97.3,95.4,94.1,95.5,99.4,97.3,98.0
Maize,100.0,113.2,105.0,115.4,117.9,119.0,138.7,144.4
Rice,100.0,99.4,105.9,102.6,110.7,121.7,129.1,108.6
Sugarcane,100.0,107.6,118.6,97.3,91.7,102.8,111.2,116.4
Cotton,100.0,85.8,93.0,81.8,86.7,71.6,66.7,73.9
Table-2 (a) Quantam Index of Important Crops,,,,,,,,
se - 2005-06=,100 Base - 2015-16=100,,,,,,,
Crops,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(P)
Wheat,100.0,104.1,97.8,95.0,98.5,107.1,102.2,109.2
Maize,100.0,116.4,112.0,129.5,149.6,169.6,180.7,208.4
Rice,100.0,100.7,109.5,105.9,109.0,123.8,137.1,107.7
Sugarcane,100.0,115.3,127.3,102.6,101.4,123.7,135.4,134.4
Cotton,100.0,107.6,120.5,99.4,92.2,71.3,84.0,49.5
