Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
Table-9 Overall Water Availability (Million acre feet),,,,,,,,
Year,Season,Surface Water,,Ground Water,,,,Total Water Availability
,,At Canal Head,At Farm Gate *,Public T.wells,Private T.wells,SCRAP T.wells,Other,
2015-16,Kharif,68.02,52.85,,22.50,3.50,,78.85
,Rabi,34.80,29.15,,21.50,3.50,,54.15
,Total,102.82,82.00,,44.00,7.00,,133.00
2016-17,Kharif,74.20,55.61,1.00,21.50,3.00,,81.11
,Rabi,31.72,27.09,1.00,20.50,3.00,,51.59
,Total,105.92,82.70,2.00,42.00,6.00,,132.70
2017-18,Kharif,72.54,56.05,1.50,23.00,3.00,,83.55
,Rabi,25.97,25.35,1.00,20.50,3.00,,49.85
,Total,98.51,81.40,2.50,43.50,6.00,,133.40
2018-19,Kharif,62.10,50.87,1.50,22.25,2.90,,77.52
,Rabi,26.34,25.53,1.00,20.45,2.90,,49.88
,Total,88.44,76.40,2.50,42.70,5.80,,127.40
2019-20,Kharif,67.87,52.68,1.00,21.75,2.80,,78.23
,Rabi,30.70,27.52,1.00,20.45,2.80,,51.77
,Total,98.57,80.20,2.00,42.20,5.60,,130.00
2020-21,Kharif,68.04,53.27,0.95,21.75,2.80,,78.77
,Rabi,32.58,28.51,0.95,20.47,2.80,,52.73
,Total,100.62,81.78,1.90,42.22,5.60,,131.50
2021-22,Kharif,67.14,52.73,1.00,22.10,2.80,,78.63
,Rabi,28.53,27.24,0.95,21.14,2.80,,52.13
,Total,95.67,79.97,1.95,43.24,5.60,,130.76
